stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5310AWB30503,,"Maesglas McDonald`s",,51.574797333,-3.008822127,,,,,,
5310AWB30500,,"Maesglas Post Office",,51.572826926,-3.012097319,,,,,,
5310AWB30499,,"Maesglas Shops",,51.570697722,-3.013969078,,,,,,
5710AWA10861,,"Maes-y-Coed Road",,51.518990746,-3.201079423,,,,,,
5710WDB25438,,Maes-yr-Onnen,,51.521056915,-3.323245677,,,,,,
5710WDB46609,,"Magretion Place",,51.471233264,-3.169200457,,,,,,
5710AWA10842,,"Maindy Stadium",,51.496636925,-3.192265905,,,,,,
5710AWA10606,,"Maitland Street",,51.503818373,-3.195121166,,,,,,
5710AWA10207,,"Manorbier Cres",,51.509737348,-3.124060107,,,,,,
5710AWA10206,,"Manorbier Cres",,51.509718264,-3.124174916,,,,,,
5710AWA11450,,"Mansell Ave",,51.473566409,-3.272411383,,,,,,
5710AWA11393,,"Maple Drive",,51.495608369,-3.257164684,,,,,,
5720AWA12376,,"Maple Road",,51.434930686,-3.1899534,,,,,,
5710AWA10133,,"Mardy Road",,51.503674339,-3.121504755,,,,,,
5720AWA11814,,"Maslin Park",,51.393394546,-3.274770484,,,,,,
5710AWA11158,,"Master Gunner",,51.501358825,-3.21319329,,,,,,
5710AWA11340,,"Mcclay Court",,51.488984139,-3.235751753,,,,,,
5710AWA11545,,"Mcdonald Rd",,51.475314945,-3.260379149,,,,,,
5710AWA10506,,"Meadow Close",,51.531119551,-3.160109351,,,,,,
5710AWA10187,,"Meadowlane Primary School",,51.517370091,-3.09857984,,,,,,
5720AWA10747,,"Meggitt Road",,51.422095608,-3.278229827,,,,,,
5720VGA02586,,"Meliden Road",,51.435064531,-3.182058742,,,,,,
5710AWA10267,,"Melrose Avenue",,51.499245322,-3.161734372,,,,,,
5710AWA10648,,"Melrose Court",,51.499993731,-3.163338156,,,,,,
5720AWA10741,,"Melville Close",,51.423776822,-3.274815627,,,,,,
5720AWA10740,,"Melville Close",,51.42406427,-3.274156829,,,,,,
5710WDB23367,,"Menai Way",,51.520397991,-3.111235431,,,,,,
5710AWA10792,,"Mercia Road",,51.483144863,-3.139334009,,,,,,
5710AWA10793,,"Mercia Road",,51.482653087,-3.139048125,,,,,,
5710AWA11648,,"Mermiad Quay",,51.464147905,-3.165813435,,,,,,
5710AWA11647,,"Mermiad Quay",,51.463287406,-3.16619025,,,,,,
5720AWA12359,,"Merrie Harrier",,51.444195007,-3.198525641,,,,,,
5720AWA10387,,"Merrie Harrier",,51.444059293,-3.199486167,,,,,,
5720AWA10386,,"Merrie Harrier",,51.44548493,-3.19812773,,,,,,
5720AWA12390,,"Merrie Harrier",,51.444600842,-3.19752901,,,,,,
5720AWA10748,,"Merthyr Dyfan Road",,51.425157836,-3.272738125,,,,,,
5720AWA10739,,"Merthyr Dyfan Road",,51.42562032,-3.270805603,,,,,,
5710AWA11069,,"Merthyr Road Shops",,51.512578094,-3.219515119,,,,,,
5710AWA11070,,"Merthyr Road Shops",,51.512438757,-3.219079073,,,,,,
5710AWA10790,,"Mervyn Road",,51.484152062,-3.142095458,,,,,,
5710AWA10789,,"Mervyn Road",,51.484351501,-3.141005901,,,,,,
5710WDB21693,,"Meteor Court",,51.482469965,-3.162287227,,,,,,
5710AWA10772,,"Methodist Church",,51.483050395,-3.149931125,,,,,,
5720AWA10420,,"Michaelston Close",,51.420919938,-3.258076519,,,,,,
5720AWA10419,,"Michaelston Close",,51.42098132,-3.258222025,,,,,,
5710AWA11451,,"Michaelston College",,51.47328138,-3.270502845,,,,,,
5710AWA11453,,"Michaelston Road",,51.473878159,-3.269367531,,,,,,
5710CBZ02503,,"Mill Place",,51.54149638,-3.177230169,,,,,,
5710WDB48459,,"Mill Road",,51.532868083,-3.179530533,,,,,,
5710AWA11564,,"Mill Road",,51.483832322,-3.233135342,,,,,,
5710WDB23368,,"Mill Road",,51.543740018,-3.177319953,,,,,,
5710WDB25076,,"Millennium Centre",,51.465043009,-3.164162019,,,,,,
5720AWA11994,,"Milton Rd",,51.438615911,-3.186553022,,,,,,
5720AWA11995,,"Milton Rd",,51.438665916,-3.186942781,,,,,,
5720AWL26199,,"Minehead Avenue",,51.40651694,-3.216992782,,,,,,
5720AWA12384,,"Monmouth House",,51.431150697,-3.182288566,,,,,,
5710AWA10516,,"Monthermer Road",,51.495752186,-3.17927786,,,,,,
5710WDB48446,,Morrison's,,51.525949919,-3.20025352,,,,,,
5710AWA10931,,Morrison's,,51.526615581,-3.200227782,,,,,,
5710WDB48447,,Morrison's,,51.525853247,-3.200034752,,,,,,
5710WDB48547,,"Mortimer Avenue",,51.537042504,-3.124372349,,,,,,
5710AWA11531,,"Mostyn Road",,51.475364551,-3.26328915,,,,,,
5710AWA10118,,"Mount Pleasant Ave",,51.519384206,-3.118561321,,,,,,
5710AWA10064,,"Mount Pleasant Avenue",,51.519928812,-3.11613886,,,,,,
5710CAA02562,,"Mount Stuart Square",,51.464643477,-3.168168245,,,,,,
5710CAA02563,,"Mount Stuart Square",,51.464511214,-3.167905745,,,,,,
5710WDB48432,,"Mount Stuart Square",,51.464445887,-3.169948256,,,,,,
5710AWA10775,,"Muirton Road",,51.48612489,-3.1435706,,,,,,
5710WDB48479,,"Mullins Avenue",,51.514145004,-3.113518724,,,,,,
5720WDB48452,,"Murch Crescent",,51.432857838,-3.20567621,,,,,,
5710AWA11312,,"Mynachdy Road",,51.502372417,-3.202961987,,,,,,
5710AWA10849,,"Mynachdy Road",,51.50346945,-3.202083181,,,,,,
5720AWA10009,,"Myrtle Grove",,51.417158113,-3.248280513,,,,,,
5720AWA11802,,"Nant Talwg",,51.406581769,-3.294834532,,,,,,
5720AWA11708,,"Nant Talwg Way",,51.406892185,-3.296013071,,,,,,
5710AWA11516,,"Narberth Road",,51.477938121,-3.241227512,,,,,,
5710AWA10922,,"Nat West",,51.529142536,-3.187838778,,,,,,
5710AWA11649,,"Nat West Building",,51.465575593,-3.166017541,,,,,,
5710AWA10765,,"Neilson Close",,51.480226631,-3.15818362,,,,,,
5710AWA11476,,"Nesta Road",,51.482762903,-3.214989456,,,,,,
5710AWA11754,,"Neville Street",,51.480721793,-3.192210754,,,,,,
5710AWA11753,,"Neville Street",,51.48057541,-3.191573304,,,,,,
5710AWA10204,,"Nevin Crescent",,51.510476281,-3.122954312,,,,,,
5710AWA10205,,"Nevin Crescent",,51.510419722,-3.123226712,,,,,,
5710AWA10212,,"New Road",,51.504429614,-3.121508894,,,,,,
5710AWA10213,,"New Road",,51.504543587,-3.121814265,,,,,,
5710AWA10927,,"Newborough Ave",,51.528376669,-3.194190629,,,,,,
5710AWA10928,,"Newborough Ave",,51.528258045,-3.194360514,,,,,,
5710AWA10609,,"Newfoundland Rd",,51.502509295,-3.190430937,,,,,,
5710AWA10608,,"Newfoundland Road",,51.502839421,-3.190684473,,,,,,
5710AWA11502,,"Newgale Place",,51.472363294,-3.243754234,,,,,,
5710AWA11520,,"Newgale Place",,51.472290175,-3.243017938,,,,,,
5710AWA10680,,"Newlands Court",,51.531509579,-3.184065534,,,,,,
5710AWA10681,,"Newlands Court",,51.531568171,-3.183605717,,,,,,
